iter	Passed	Remaining
1297	5223	10872
1298	5226	10867
1299	5229	10861
1300	5232	10855
1301	5235	10849
1302	5239	10844
1303	5242	10838
1304	5245	10833
1305	5250	10830
1306	5253	10824
1307	5256	10818
1308	5260	10814
1309	5264	10809
1310	5268	10805
1311	5271	10799
1312	5274	10793
1313	5277	10787
1314	5280	10781
1315	5283	10775
1316	5286	10769
1317	5290	10765
1318	5293	10760
1319	5297	10754
1320	5300	10749
1321	5304	10745
1322	5307	10740
1323	5311	10734
1324	5315	10731
1325	5318	10726
1326	5321	10720
1327	5324	10713
1328	5327	10707
1329	5330	10701
1330	5333	10695
1331	5337	10690
1332	5340	10684
1333	5343	10679
1334	5346	10673
1335	5350	10669
1336	5353	10662
1337	5357	10658
1338	5361	10653
1339	5364	10648
1340	5367	10643
1341	5370	10637
1342	5374	10633
1343	5377	10627
1344	5380	10621
1345	5383	10615
1346	5386	10609
1347	5389	10603
1348	5392	10597
1349	5395	10591
1350	5398	10586
1351	5402	10581
1352	5405	10575
1353	5409	10570
1354	5412	10564
1355	5415	10558
1356	5418	10553
1357	5421	10547
1358	5424	10541
1359	5428	10537
1360	5432	10532
1361	5435	10526
1362	5438	10522
1363	5442	10517
1364	5445	10512
1365	5448	10506
1366	5451	10500
1367	5454	10494
1368	5457	10489
1369	5461	10484
1370	5464	10478
1371	5467	10473
1372	5470	10467
1373	5474	10462
1374	5477	10456
1375	5480	10450
1376	5483	10444
1377	5486	10439
1378	5489	10433
1379	5492	10427
1380	5495	10422
1381	5499	10417
1382	5502	10413
1383	5505	10407
1384	5509	10402
1385	5512	10397
1386	5516	10392
1387	5519	10387
1388	5522	10381
1389	5525	10375
1390	5528	10369
1391	5532	10365
1392	5535	10359
1393	5538	10354
1394	5541	10348
1395	5544	10343
1396	5548	10337
1397	5554	10337
1398	5559	10336
1399	5564	10333
1400	5570	10333
1401	5573	10328
1402	5576	10322
1403	5580	10318
1404	5583	10312
1405	5586	10307
1406	5589	10301
1407	5592	10295
1408	5595	10289
1409	5598	10284
1410	5601	10278
1411	5604	10272
1412	5607	10266
1413	5611	10261
1414	5614	10256
1415	5616	10250
1416	5619	10244
1417	5623	10239
1418	5629	10239
1419	5634	10236
1420	5641	10238
1421	5645	10234
1422	5648	10230
1423	5652	10226
1424	5657	10222
1425	5664	10225
1426	5671	10225
1427	5675	10222
1428	5680	10219
1429	5684	10215
1430	5689	10214
1431	5695	10213
1432	5700	10211
1433	5705	10209
1434	5710	10206
1435	5713	10201
1436	5717	10198
1437	5722	10195
1438	5727	10193
1439	5732	10190
1440	5735	10184
1441	5738	10180
1442	5741	10174
1443	5745	10169
1444	5748	10164
1445	5752	10159
1446	5756	10155
1447	5759	10150
1448	5762	10145
1449	5767	10142
1450	5770	10136
1451	5773	10131
1452	5777	10127
1453	5781	10124
1454	5788	10124
1455	5792	10120
1456	5795	10114
1457	5799	10110
1458	5802	10105
1459	5805	10099
1460	5809	10095
1461	5812	10089
1462	5816	10085
1463	5819	10080
1464	5822	10075
1465	5826	10070
1466	5829	10065
1467	5832	10060
1468	5836	10055
1469	5841	10053
1470	5844	10048
1471	5848	10044
1472	5853	10041
1473	5857	10037
1474	5860	10032
